Kör Core Task 2: Sökning pågår...
------------------------------------------------
Fil: del_01.txt | Datum: 2024-01-01 | Antal: 3
Fil: del_36.txt | Datum: 2024-02-05 | Antal: 3
Fil: del_37.txt | Datum: 2024-02-06 | Antal: 0
Fil: del_38.txt | Datum: 2024-02-07 | Antal: 0
Fil: del_39.txt | Datum: 2024-02-08 | Antal: 3
Fil: del_40.txt | Datum: 2024-02-09 | Antal: 0
Fil: del_41.txt | Datum: 2024-02-10 | Antal: 0
Fil: del_42.txt | Datum: 2024-02-11 | Antal: 3
Fil: del_43.txt | Datum: 2024-02-12 | Antal: 3
Fil: del_44.txt | Datum: 2024-02-13 | Antal: 0
Fil: del_45.txt | Datum: 2024-02-14 | Antal: 3
Fil: del_46.txt | Datum: 2024-02-15 | Antal: 3
Fil: del_47.txt | Datum: 2024-02-16 | Antal: 3
Fil: del_48.txt | Datum: 2024-02-17 | Antal: 3
Fil: del_49.txt | Datum: 2024-02-18 | Antal: 0
Fil: del_50.txt | Datum: 2024-02-19 | Antal: 0
Fil: del_51.txt | Datum: 2024-02-20 | Antal: 3
Fil: del_52.txt | Datum: 2024-02-21 | Antal: 0
Fil: del_53.txt | Datum: 2024-02-22 | Antal: 0
Fil: del_54.txt | Datum: 2024-02-23 | Antal: 3
Fil: del_55.txt | Datum: 2024-02-24 | Antal: 0
Fil: del_56.txt | Datum: 2024-02-25 | Antal: 0
Fil: del_57.txt | Datum: 2024-02-26 | Antal: 3
Fil: del_58.txt | Datum: 2024-02-27 | Antal: 3
Fil: del_59.txt | Datum: 2024-02-28 | Antal: 0
Fil: del_60.txt | Datum: 2024-02-29 | Antal: 3
Fil: del_61.txt | Datum: 2024-03-01 | Antal: 3
Fil: del_62.txt | Datum: 2024-03-02 | Antal: 3
Fil: del_63.txt | Datum: 2024-03-03 | Antal: 3
Fil: del_64.txt | Datum: 2024-03-04 | Antal: 0
Fil: del_65.txt | Datum: 2024-03-05 | Antal: 0
Fil: del_66.txt | Datum: 2024-03-06 | Antal: 3
Fil: del_67.txt | Datum: 2024-03-07 | Antal: 0
Fil: del_68.txt | Datum: 2024-03-08 | Antal: 0
Fil: del_69.txt | Datum: 2024-03-09 | Antal: 3
Fil: del_70.txt | Datum: 2024-03-10 | Antal: 0
Fil: del_71.txt | Datum: 2024-03-11 | Antal: 0
Fil: del_72.txt | Datum: 2024-03-12 | Antal: 3
Fil: del_73.txt | Datum: 2024-03-13 | Antal: 3
Fil: del_74.txt | Datum: 2024-03-14 | Antal: 0
Fil: del_75.txt | Datum: 2024-03-15 | Antal: 3
Fil: del_76.txt | Datum: 2024-03-16 | Antal: 3
Fil: del_77.txt | Datum: 2024-03-17 | Antal: 3
Fil: del_78.txt | Datum: 2024-03-18 | Antal: 3
Fil: del_79.txt | Datum: 2024-03-19 | Antal: 0
Fil: del_80.txt | Datum: 2024-03-20 | Antal: 0
Fil: del_81.txt | Datum: 2024-03-21 | Antal: 3
Fil: del_82.txt | Datum: 2024-03-22 | Antal: 0
Fil: del_83.txt | Datum: 2024-03-23 | Antal: 0
Fil: del_84.txt | Datum: 2024-03-24 | Antal: 3
Fil: del_85.txt | Datum: 2024-03-25 | Antal: 0
Fil: del_86.txt | Datum: 2024-03-26 | Antal: 0
Fil: del_87.txt | Datum: 2024-03-27 | Antal: 3
Fil: del_88.txt | Datum: 2024-03-28 | Antal: 3
Fil: del_89.txt | Datum: 2024-03-29 | Antal: 0
Fil: del_90.txt | Datum: 2024-03-30 | Antal: 3
Fil: del_91.txt | Datum: 2024-03-31 | Antal: 3
Fil: del_92.txt | Datum: 2024-04-01 | Antal: 3
Fil: del_93.txt | Datum: 2024-04-02 | Antal: 3
Fil: del_94.txt | Datum: 2024-04-03 | Antal: 0
Fil: del_95.txt | Datum: 2024-04-04 | Antal: 0
Fil: del_96.txt | Datum: 2024-04-05 | Antal: 3
Fil: del_97.txt | Datum: 2024-04-06 | Antal: 0
Fil: del_98.txt | Datum: 2024-04-07 | Antal: 0
Fil: del_99.txt | Datum: 2024-04-08 | Antal: 3
------------------------------------------------
TOTALT ANTAL FÖREKOMSTER AV 'Apollo': 240
------------------------------------------------
